STATE,OFFENCE CATEGORY,OFFENCE SUBCATEGORY,NUMBER
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,384
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,THEFT /STEALING,2586
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,BURGLARY,32
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,129
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,STORE BREAKING,16
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,518
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,FORGERY,7
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,288
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,0
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,ARSON,12
FEDERAL CAPITAL TERRITORY,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,188
AKWA IBOM,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,47
AKWA IBOM,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,6
AKWA IBOM,OFFENCES AGAINST PROPERTY,THEFT /STEALING,310
AKWA IBOM,OFFENCES AGAINST PROPERTY,BURGLARY,14
AKWA IBOM,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,13
AKWA IBOM,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
AKWA IBOM,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,168
AKWA IBOM,OFFENCES AGAINST PROPERTY,FORGERY,11
AKWA IBOM,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,8
AKWA IBOM,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,7
AKWA IBOM,OFFENCES AGAINST PROPERTY,ARSON,4
AKWA IBOM,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,5
ANAMBRA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,6
ANAMBRA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ANAMBRA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,484
ANAMBRA,OFFENCES AGAINST PROPERTY,BURGLARY,22
ANAMBRA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,76
ANAMBRA,OFFENCES AGAINST PROPERTY,STORE BREAKING,7
ANAMBRA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,0
ANAMBRA,OFFENCES AGAINST PROPERTY,FORGERY,20
ANAMBRA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,19
ANAMBRA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,43
ANAMBRA,OFFENCES AGAINST PROPERTY,ARSON,12
ANAMBRA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,341
ABIA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,88
ABIA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ABIA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,570
ABIA,OFFENCES AGAINST PROPERTY,BURGLARY,23
ABIA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,576
ABIA,OFFENCES AGAINST PROPERTY,STORE BREAKING,23
ABIA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,544
ABIA,OFFENCES AGAINST PROPERTY,FORGERY,4
ABIA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,9
ABIA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,49
ABIA,OFFENCES AGAINST PROPERTY,ARSON,345
ABIA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,89
ADAMAWA,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,45
ADAMAWA,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
ADAMAWA,OFFENCES AGAINST PROPERTY,THEFT /STEALING,825
ADAMAWA,OFFENCES AGAINST PROPERTY,BURGLARY,0
ADAMAWA,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,62
ADAMAWA,OFFENCES AGAINST PROPERTY,STORE BREAKING,24
ADAMAWA,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,106
ADAMAWA,OFFENCES AGAINST PROPERTY,FORGERY,5
ADAMAWA,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,65
ADAMAWA,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,28
ADAMAWA,OFFENCES AGAINST PROPERTY,ARSON,0
ADAMAWA,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,246
BAUCHI,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,57
BAUCHI,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,0
BAUCHI,OFFENCES AGAINST PROPERTY,THEFT /STEALING,33
BAUCHI,OFFENCES AGAINST PROPERTY,BURGLARY,0
BAUCHI,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,0
BAUCHI,OFFENCES AGAINST PROPERTY,STORE BREAKING,0
BAUCHI,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,43
BAUCHI,OFFENCES AGAINST PROPERTY,FORGERY,10
BAUCHI,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,4
BAUCHI,OFFENCES AGAINST PROPERTY,UNLAWFUL POSSESS,5
BAUCHI,OFFENCES AGAINST PROPERTY,ARSON,9
BAUCHI,OFFENCES AGAINST PROPERTY,OTHER OFFENCE AGAINST PROPERTY,25
BENUE,OFFENCES AGAINST PROPERTY,ARMED ROBBERY,59
BENUE,OFFENCES AGAINST PROPERTY,WOUNDING WITH MENACE,5
BENUE,OFFENCES AGAINST PROPERTY,THEFT /STEALING,811
BENUE,OFFENCES AGAINST PROPERTY,BURGLARY,32
BENUE,OFFENCES AGAINST PROPERTY,HOUSE BREAKING,34
BENUE,OFFENCES AGAINST PROPERTY,STORE BREAKING,90
BENUE,OFFENCES AGAINST PROPERTY,FALSE PRETENCE & CHEATING/ FRAUD,22
BENUE,OFFENCES AGAINST PROPERTY,FORGERY,11
BENUE,OFFENCES AGAINST PROPERTY,RECEIVING STOLEN PROPERTY,5
